crime_type,latitude,longitude,geometry
DECEPTIVE PRACTICE,41.808855912,-87.664976619,POINT (-87.664976619 41.808855912)
OFFENSE INVOLVING CHILDREN,41.799124898,-87.653785625,POINT (-87.653785625 41.799124898)
OTHER OFFENSE,41.801157443,-87.641668479,POINT (-87.641668479 41.801157443)
DECEPTIVE PRACTICE,41.808855912,-87.664976619,POINT (-87.664976619 41.808855912)
PROSTITUTION,41.807971489,-87.644408517,POINT (-87.644408517 41.807971489)
MOTOR VEHICLE THEFT,41.794257683,-87.648893676,POINT (-87.648893676 41.794257683)
WEAPONS VIOLATION,41.795536462,-87.65489804,POINT (-87.65489804 41.795536462)
MOTOR VEHICLE THEFT,41.803294014,-87.653415149,POINT (-87.653415149 41.803294014)
BATTERY,41.802641458,-87.662382149,POINT (-87.662382149 41.802641458)
CRIMINAL TRESPASS,41.800382867,-87.67326895,POINT (-87.67326895 41.800382867)
BURGLARY,41.811225059,-87.667483017,POINT (-87.667483017 41.811225059)
MOTOR VEHICLE THEFT,41.80767811,-87.643080195,POINT (-87.643080195 41.80767811)
